time,ref,sensor
8.258125,-0.073032057,-0.071648202
8.25875,-0.072633867,-0.071447073
8.259375,-0.072184612,-0.071176375
8.26,-0.071688373,-0.070839233
8.260625,-0.071143275,-0.07044242
8.26125,-0.070546093,-0.069997841
8.261875,-0.069894824,-0.06952377
8.2625,-0.069193791,-0.069044654
8.263125,-0.068458576,-0.068589631
8.26375,-0.067716766,-0.068189778
8.264375,-0.067006367,-0.067874574
8.265,-0.066372419,-0.067668095
8.265625,-0.065859581,-0.06758514
8.26625,-0.065505086,-0.067628984
8.266875,-0.065330995,-0.06779042
8.2675,-0.065342638,-0.068048623
8.268125,-0.065521682,-0.068373834
8.26875,-0.065828633,-0.068730889
8.269375,-0.066211106,-0.06908346
8.27,-0.066608047,-0.069398238
8.270625,-0.066957968,-0.069648182
8.27125,-0.067209033,-0.069814613
8.271875,-0.067323553,-0.069887539
8.2725,-0.067281925,-0.069864875
8.273125,-0.067083268,-0.0697506
8.27375,-0.066741491,-0.069552208
8.274375,-0.066281634,-0.069277914
8.275,-0.06573099,-0.068935642
8.275625,-0.06511797,-0.068531875
8.27625,-0.064463693,-0.068071886
8.276875,-0.063779265,-0.067560958
8.2775,-0.063069565,-0.067005858
8.278125,-0.06233505,-0.066415981
8.27875,-0.061574221,-0.065804336
8.279375,-0.060789216,-0.065187557
8.28,-0.059989003,-0.064584844
8.280625,-0.059189707,-0.064015944
8.28125,-0.058414993,-0.063498641
8.281875,-0.057692224,-0.063046291
8.2825,-0.057048269,-0.062665723
8.283125,-0.056502788,-0.062355966
8.28375,-0.056066619,-0.062108227
8.284375,-0.055738354,-0.061907252
8.285,-0.055500174,-0.061733825
8.285625,-0.055323167,-0.061567104
8.28625,-0.05517273,-0.061387948
8.286875,-0.055011792,-0.061181359
8.2875,-0.054808338,-0.060937845
8.288125,-0.054539646,-0.060653835
8.28875,-0.054195349,-0.060330382
8.289375,-0.05377819,-0.059972062
8.29,-0.053300592,-0.05958484
8.290625,-0.052781818,-0.059173838
8.29125,-0.052240752,-0.058741396
8.291875,-0.05169166,-0.058287288
8.2925,-0.05114294,-0.0578089
8.293125,-0.050591727,-0.057302387
8.29375,-0.050023668,-0.056764758
8.294375,-0.049421306,-0.056195939
8.295,-0.048765818,-0.055600118
8.295625,-0.048041997,-0.054986407
8.29625,-0.047245548,-0.054368614
8.296875,-0.04638378,-0.05376347
8.2975,-0.045477929,-0.053188377
8.298125,-0.044559466,-0.052658304
8.29875,-0.043666523,-0.052183713
8.299375,-0.042836383,-0.051768199
8.3,-0.042099567,-0.051407653
8.300625,-0.041476471,-0.051090611
8.30125,-0.040971578,-0.050799792
8.301875,-0.04057109,-0.050514406
8.3025,-0.040247222,-0.050213383
8.303125,-0.039963652,-0.049878202
8.30375,-0.039678418,-0.049495077
8.304375,-0.039352782,-0.04905614
8.305,-0.038955256,-0.048559518
8.305625,-0.038466492,-0.048008026
8.30625,-0.037879141,-0.047408207
8.306875,-0.037198559,-0.046767965
8.3075,-0.036438345,-0.04609443
8.308125,-0.035615808,-0.045392283
8.30875,-0.034749535,-0.044663584
8.309375,-0.033856021,-0.043908076
8.31,-0.032944475,-0.043124148
8.310625,-0.032017526,-0.042310481
8.31125,-0.031074936,-0.041467754
8.311875,-0.030112584,-0.040599569
8.3125,-0.029128361,-0.039713381
8.313125,-0.028123642,-0.038820148
8.31375,-0.02710511,-0.037933102
8.314375,-0.026085423,-0.037066326
8.315,-0.025081266,-0.036232451
8.315625,-0.024112408,-0.035441037
8.31625,-0.02319613,-0.034696973
8.316875,-0.022346158,-0.033999557
8.3175,-0.021570685,-0.033342385
8.318125,-0.020869469,-0.032714375
8.31875,-0.020232199,-0.032100935
8.319375,-0.019642343,-0.031485858
8.32,-0.019079458,-0.030852907
8.320625,-0.018519629,-0.030187374
8.32125,-0.017941407,-0.029476913
8.321875,-0.017325373,-0.028712091
8.3225,-0.016656627,-0.027885911
8.323125,-0.01592462,-0.026994326
8.32375,-0.01512262,-0.026035517
8.324375,-0.014246744,-0.02500941
8.325,-0.013292784,-0.023917509
8.325625,-0.012259489,-0.022763038
8.32625,-0.011146136,-0.021551329
8.326875,-0.009950385,-0.020290061
8.3275,-0.008673547,-0.018989659
8.328125,-0.007319274,-0.017663175
8.32875,-0.005896563,-0.016325747
8.329375,-0.004419725,-0.014993532
8.33,-0.002909284,-0.013683109
8.330625,-0.001390594,-0.012409635
8.33125,0.000108544,-0.011185499
8.331875,0.001558704,-0.010019073
8.3325,0.002934503,-0.008913689
8.333125,0.004215771,-0.007867518
8.33375,0.005390124,-0.006873916
8.334375,0.006453622,-0.005922073
8.335,0.007411952,-0.004998257
8.335625,0.008280986,-0.004087223
8.33625,0.009081863,-0.003173457
8.336875,0.00984033,-0.002242496
8.3375,0.01058414,-0.001282017
8.338125,0.011339253,-0.000282292
8.33875,0.012129428,0.000763359
8.339375,0.012973433,0.00185901
8.34,0.013885601,0.003005746
8.340625,0.014874526,0.004201821
8.34125,0.015943918,0.005442854
8.341875,0.017093401,0.006722074
8.3425,0.018316986,0.008030336
8.343125,0.01960545,0.009356711
8.34375,0.020946098,0.01068816
8.344375,0.022321532,0.012010244
8.345,0.023712254,0.013308135
8.345625,0.025095915,0.014567764
8.34625,0.026449529,0.015777063
8.346875,0.027750263,0.016926275
8.3475,0.028978265,0.018009407
8.348125,0.030118192,0.019024467
8.34875,0.031160626,0.019973781
8.349375,0.032103242,0.020863502
8.35,0.03295139,0.02170278
8.350625,0.033716734,0.022502602
8.35125,0.034414605,0.023274936
8.351875,0.035064814,0.024031715
8.3525,0.035686719,0.024784492
8.353125,0.036298489,0.025543871
8.35375,0.036916614,0.026319755
8.354375,0.037554225,0.027121372
8.355,0.03822105,0.027958059
8.355625,0.038926027,0.028839477
8.35625,0.039677122,0.029775926
8.356875,0.040482819,0.030777456
8.3575,0.041352661,0.031853343
8.358125,0.042297028,0.033010827
8.35875,0.043325813,0.034253833
8.359375,0.044446229,0.035581693
8.36,0.045661415,0.036988817
8.360625,0.046967835,0.038464452
8.36125,0.048354651,0.039993202
8.361875,0.049803916,0.041556455
8.3625,0.051292487,0.043134233
8.363125,0.052793428,0.0447071
8.36375,0.054280158,0.046257557
8.364375,0.05572957,0.047771241
8.365,0.057123068,0.0492373
8.365625,0.05845046,0.050648384
8.36625,0.059707689,0.051999774
8.366875,0.060897095,0.053288047
8.3675,0.062023337,0.054510064
8.368125,0.06309048,0.055662461
8.36875,0.064100495,0.056741525
8.369375,0.065049341,0.057744156
8.37,0.065930279,0.058669136
8.370625,0.066733574,0.0595189
8.37125,0.067450427,0.060300892
8.371875,0.068077518,0.061028892
8.3725,0.068619967,0.061722975
8.373125,0.069094496,0.062408542
8.37375,0.069530232,0.063113971
8.374375,0.069966329,0.063867502
8.375,0.070447561,0.064693155
8.375625,0.071018269,0.065607544
8.37625,0.071714671,0.066617055
8.376875,0.072559391,0.067716724
8.3775,0.073554392,0.06889073
8.378125,0.074681751,0.070113576
8.37875,0.07590414,0.071353907
8.379375,0.077169732,0.072578603
8.38,0.078419482,0.073757152
8.380625,0.079595914,0.074864956
8.38125,0.080651285,0.075885869
8.381875,0.081553623,0.076813094
8.3825,0.082291006,0.07764852
8.383125,0.082870874,0.078400568
8.38375,0.083317337,0.079081623
8.384375,0.083664431,0.079705201
8.385,0.08395001,0.080283265
8.385625,0.084208068,0.08082488
8.38625,0.084462129,0.081336013
8.386875,0.084725597,0.081820359
8.3875,0.084999816,0.082281273
8.388125,0.085277845,0.082722977
8.38875,0.085549872,0.083152624
8.389375,0.085807442,0.083581002
8.39,0.086049436,0.084022311
8.390625,0.086284324,0.084492405
8.39125,0.086529667,0.085006493
8.391875,0.086810047,0.08557637
8.3925,0.087151563,0.086207624
8.393125,0.087575758,0.086897695
8.39375,0.088093901,0.087635152
8.394375,0.088701188,0.088400998
8.395,0.089377254,0.089170282
8.395625,0.090087037,0.089915642
8.39625,0.09078549,0.09061083
8.396875,0.091424232,0.091234165
8.3975,0.091959608,0.091770679
8.398125,0.092358948,0.092213021
8.39875,0.092605497,0.092561042
8.399375,0.092699981,0.092820094
8.4,0.092658434,0.09299824
8.400625,0.092507291,0.093103128
8.40125,0.092277616,0.09314043
8.401875,0.091997563,0.093111833
8.4025,0.091684839,0.093015237
8.403125,0.091344961,0.092846225
8.40375,0.090970421,0.092600413
8.404375,0.090543402,0.092276271
8.405,0.090042038,0.091877807
8.405625,0.089447768,0.091416183
8.40625,0.088750782,0.090909908
8.406875,0.08795718,0.090383638
8.4075,0.087088703,0.089865319
8.408125,0.086183476,0.089382398
8.40875,0.085289111,0.088957889
8.409375,0.084455898,0.08860643
8.41,0.083729787,0.088331987
8.410625,0.083140523,0.088126927
8.41125,0.082698722,0.087973439
8.411875,0.082391999,0.08784588
8.4125,0.082187529,0.087714895
8.413125,0.082036396,0.087551638
8.41375,0.081882258,0.087331683
8.414375,0.081669798,0.087037922
8.415,0.081353375,0.086661731
8.415625,0.080903303,0.086203062
